recipe_name,product_name,grams
Albondigas de calabaza y queso,Aceite de Oliva,20.00
Albondigas de calabaza y queso,Calabaza,250.00
Albondigas de calabaza y queso,Queso cascaval,100.00
Albondigas de calabaza y queso,Queso curado,25.00
Albondigas de calabaza y queso,Levadura nutricional,15.00
Albondigas de calabaza y queso,Huevo,50.00
Albondigas de calabaza y queso,Perejil,20.00
Albondigas de calabaza y queso,Barra pan,30.00
Albondigas de espinaca,Espinaca,300.00
Albondigas de espinaca,Garbanzos,160.00
Albondigas de espinaca,Menta,20.00
Albondigas de espinaca,Ajo,20.00
Albondigas de espinaca,Lino,30.00
Albondigas de espinaca,Tomate,100.00
Albondigas de espinaca,Pepino,200.00
Albondigas de espinaca,Levadura nutricional,50.00
Alcachofa hervida,Aceite de Oliva,25.00
Alcachofa hervida,Alcachofa,600.00
Aloo Jeera,Aceite de Oliva,40.00
Aloo Jeera,Jengibre,40.00
Aloo Jeera,Cilantro,20.00
Aloo Jeera,Patata ,1000.00
Arepa,Harina Pan,130.00
Arepa,Aceite de Oliva,30.00
Arepa,Aguacate,200.00
Arepa,Seta laminada,400.00
Arepa,Mayonesa vegana,20.00
Arepa,Branza slaba de vaci,100.00
Baked oats con arandanos,Avena,260.00
Baked oats con arandanos,Crema de cacahuete,50.00
Baked oats con arandanos,Banana,300.00
Baked oats con arandanos,Leche de nuez,420.00
Baked oats con arandanos,Arandanos,200.00
Baked oats con arandanos,Sirope de agave,30.00
Baked oats con arandanos,Yogur,150.00
Bizcocho de calabacin,Calabacin,350.00
Bizcocho de calabacin,Aceite de coco,60.00
Bizcocho de calabacin,Sirope de agave,15.00
Bizcocho de calabacin,Huevo,150.00
Bizcocho de calabacin,Azucar,30.00
Bizcocho de calabacin,Cacao,40.00
Bizcocho de calabacin,Chips de chocolate,100.00
Bizcocho de calabacin,Harina de trigo,150.00
Bizcocho de calabacin,Nueces,50.00
Bizcocho de datiles,Datil,200.00
Bizcocho de datiles,Huevo,100.00
Bizcocho de datiles,Aceite de Oliva,30.00
Bizcocho de datiles,Avena,120.00
Bizcocho de datiles,Nueces,35.00
Bizcocho de datiles,Levadura Royal,7.00
Bizcocho de limon,Aceite de Oliva,70.00
Bizcocho de limon,Yogur,125.00
Bizcocho de limon,Azucar,30.00
Bizcocho de limon,Huevo,150.00
Bizcocho de limon,Harina de trigo,180.00
Bizcocho de limon,Limon,50.00
Bizcocho de limon,Sirope de agave,50.00
Brocoli al horno,Aceite de Oliva,20.00
Brocoli al horno,Brocoli,550.00
Brocoli and patata sheet,Brocoli,300.00
Brocoli and patata sheet,Patata ,500.00
Brocoli and patata sheet,Aceite de Oliva,30.00
Brocoli and patata sheet,Tofu,200.00
Brocoli and patata sheet,Pipas de calabaza,20.00
Brownie del mix,Brownie mix,400.00
Brownie del mix,Mantequilla,120.00
Brownie del mix,Leche de nuez,200.00
