name,description,calories,fats,proteins,carbohydrates
Albondigas de calabaza y queso,,914.15,61.64,54.68,41.31
Albondigas de espinaca,,1064.10,25.27,72.61,140.01
Alcachofa hervida,,503.00,26.20,19.80,66.00
Aloo Jeera,Patatas al comino,2030.20,42.32,41.12,187.94
Arepa,Una arepa por persona,1392.70,70.50,38.24,128.69
Baked oats con arandanos,,2311.60,70.18,71.26,325.47
Bizcocho de calabacin,,2542.70,149.39,55.85,246.52
Bizcocho de datiles,,1679.31,69.83,34.87,227.44
Bizcocho de limon,,1990.10,99.36,42.42,230.57
Brocoli al horno,,363.80,22.20,15.40,38.50
Brocoli and patata sheet,,1612.40,56.00,66.20,123.60
Brownie del mix,,2569.20,115.40,35.80,334.80
Burrito almuerzo,,250.70,6.04,14.33,33.95
Calabacin con queso,,532.00,32.82,38.80,20.70
Calabacin relleno de lenteja,,1181.20,57.30,74.20,105.62
Calabacin relleno de soja,,1095.80,61.21,81.42,66.72
"Carpaccio de remolacha, zanahoria y branza",,481.40,8.70,41.30,65.40
Champiñones al horno,,687.00,46.25,52.50,26.15
Chirivia al horno,"- 500 gramos de chirivia
- 20 gramos de miel
- 1 cuchara de curry
- 1 cuchara de comido
- 20 gramos de aceite
- Sal 
- Pimiente",659.40,21.55,6.86,115.86
Chorizo de calabaza vegano,,94.00,5.28,2.69,11.61
Chorizo vegano 1|4 (living like a Panda),,491.55,23.65,16.53,41.07
Coliflor al horno con ensalada,,551.20,71.01,22.60,41.30
Coliflor estilo pollo,"Ingredientes:
- Coliflor: 1000 gr
- Leche de nuez: 300 gr
- Harina de Maiz: 30 gr
- Harina de trigo: 250 gr
- Azucar: 10 gr

Instructions:
1. Cortar coliflor en trozos pequeños.
2. En un bol grande añadir 250 gramos de leche, 2 cucharas de vinagre y 1 cuchara de cayena. Dejar reposar 20 minutos. 
3. En un plato hondo mezclar 1 cuchara de maizena, 160 gramos de harina, 1 cuchara de azucar, 1 cuchara de pimienta, 1 cuchara de paprika, 1 cucharas de cayena, 1 cuchara de ajo en polvo y1 1/2 de sal. 
4. Del bol grande sacar la coliflor y a la mezcla de leche, añades 50 de leche y 40 gramos de harina. 
5. Rebozamos una  vez, Liquido,harina, . 
6. Los dejamos en el horno a 180 gramos unos 30 minutos. Dar la vuelta a la mitad
7. Sale para 4 raciones.",787.85,102.23,31.00,148.66
Cous - Cous,,791.60,29.56,23.16,102.58
Croisant de masa,,1867.80,87.80,45.40,218.80
Croquestas de coliflor,,684.00,66.43,41.97,91.46
Curry de espinaca,Pick up limes,2304.60,181.20,75.55,196.25
"Curry de mungo, guisantes, batata y espinaca",,4431.87,136.64,150.68,646.14
Cuscus con coliflor,,1004.45,77.03,37.19,136.66
Empanadillas de espinaca,,1391.50,83.25,44.55,124.30
Endivias con queso azul,,538.70,35.70,19.20,45.80
Ensalada de Sarraceno,,1246.50,27.76,35.17,219.15
Ensalada de col,,132.00,0.60,4.40,32.00
"Ensalada de col, rabano, zanahoria y queso",,600.00,28.40,35.32,60.20
Ensalada de lombarda,,740.60,55.60,14.70,44.96
Ensalada de remolacha,,567.70,15.23,40.91,75.70
Esparragos al wok,,256.80,20.40,8.80,15.60
Espinacas con queso azul,,684.30,56.40,33.70,24.40
Falafel con comino,,1298.20,49.18,49.99,156.27
Falafel mix con pan de pita,Falafel mix de Kaufland con pan de Elias,1184.35,26.12,42.31,178.05
Fideos de arroz con curry,,1232.10,49.45,27.15,172.42
Gachas de avena,,801.90,23.46,20.40,124.33
Galet bretona ,,1928.00,88.57,83.77,181.66
